
$SESSION,1,V,2015-10-28T11:40:30.097,ASL/16/3937*20
2015-10-30T09:57:18.606,þÀ6221 B4CC C6F1
2015-10-30T09:57:20.587,þ€66AD B4CC C6EE
2015-10-30T09:57:24.548,þÀ228D B4CC C5F0
2015-10-30T09:57:32.258,þ€66AD 94CC C6FF
2015-10-30T09:57:39.963,þÀ06CC DF7C C4FF
2015-10-30T09:57:41.954,þ€62C8 92C2 C6E5
2015-10-30T09:57:50.815,þÀ66C4 D292 C7E7
2015-10-30T09:57:59.095,þ€664C D2D2 C3E3
2015-10-30T09:58:09.110,þÀ62CC D2D2 C6E3
2015-10-30T09:58:16.041,þ€66A9 B48C C5EE
2015-10-30T09:58:23.963,þÀ4609 B4CC C4F4
2015-10-30T09:58:29.905,þ€622D 10C8 C4FA
2015-10-30T09:58:41.683,þÀ46AD 948C C6FB
2015-10-30T09:58:50.445,þ€20C8 D2C7 C5FF
2015-10-30T09:59:29.323,þÀ66CC D092 C4F3
2015-10-30T09:59:46.158,þ€6285 B48C C5FD
2015-10-30T09:59:55.070,þÀ66AD B4CC C3F8
2015-10-30T10:00:00.021,þ€66AD B4CC C5F7
2015-10-30T10:00:27.747,þÀ06AD B44C C5ED
2015-10-30T10:00:48.747,þ€442D B4C8 C3FE
2015-10-30T10:00:52.731,þÀ66C4 D2D2 C4E2
2015-10-30T10:00:57.709,þ€26CC D0D2 C3E2
2015-10-30T10:01:26.169,þÀ068C CFDF C3FF
2015-10-30T10:01:29.140,þ€66AD B4CC C4E5
2015-10-30T10:01:35.411,þÀ46AD B4C8 C4F2
2015-10-30T10:01:39.041,þ€26C8 923F C7FF
2015-10-30T10:01:42.011,þÀ24AD 34CC C6F4
2015-10-30T10:01:48.941,þ€66A0 B4C4 C5ED
2015-10-30T10:01:50.921,þÀ668D A4CC C4F0
2015-10-30T10:01:53.036,þ€66A9 30C8 C4F9
2015-10-30T10:02:03.791,þÀ46CC D2C2 C5E7
2015-10-30T10:02:04.781,þ€668D B0CC C2F2
2015-10-30T10:02:05.771,þÀ4689 A4C4 C4F4
2015-10-30T10:02:17.649,þ€4489 B444 C6FA
2015-10-30T10:02:21.997,þÀ660D 24C4 C4F1
2015-10-30T10:02:30.516,þ€66CC D2D2 C4DE
2015-10-30T10:02:47.343,þÀ6625 B4CC C5FB
2015-10-30T10:02:53.281,þ€60AD B4CC C5F2
2015-10-30T10:02:58.224,þÀ46AD A0CC C3F2
2015-10-30T10:03:06.148,þ€66CC D252 C5ED
2015-10-30T10:03:08.367,þÀ22AD A44C C4F2
2015-10-30T10:03:13.077,þ€0604 D0D2 C6F9
2015-10-30T10:03:34.854,þÀ66AD 90CC C6ED
2015-10-30T10:03:37.823,þ€62AD 34CC C5E8
2015-10-30T10:03:42.772,þÀ46AD B44C C5F4
2015-10-30T10:03:45.742,þ€662D B4CC C5F3
2015-10-30T10:03:53.661,þÀ66AD B4CC C4EE
2015-10-30T10:03:57.546,þ€66AD B4CC C4F6
2015-10-30T10:04:30.289,þÀ26CC D0D2 C2EA
2015-10-30T10:04:41.412,þ€66A8 B0CC C3F4
2015-10-30T10:04:45.137,þÀ66C8 12D2 C6EA
2015-10-30T10:04:49.096,þ€42AD 84CC C8F0
2015-10-30T10:04:55.431,þÀ662D B44C C6F6
2015-10-30T10:05:01.439,þ€40CC D2D2 C4F4
2015-10-30T10:05:32.642,þÀ664C 9250 C4E9
2015-10-30T10:05:44.517,þ€6225 90C8 C6F2
2015-10-30T10:05:48.500,þÀ60AD B4CC C5F4
2015-10-30T10:05:51.443,þ€62CC 5240 C3EF
2015-10-30T10:05:55.401,þÀ66AD B4CC C5EA
2015-10-30T10:05:58.369,þ€66A1 B08C C7F0
2015-10-30T10:05:59.358,þÀ62AD B44C C5EC
2015-10-30T10:06:02.326,þ€66AD 34C4 C3EC
2015-10-30T10:06:05.294,þÀ66AD B4CC C7E8
2015-10-30T10:06:09.251,þ€66AD A4CC C8E5
2015-10-30T10:06:14.198,þÀ6629 B4CC C7F1
2015-10-30T10:06:20.134,þ€66A9 B4CC C4EB
2015-10-30T10:06:22.538,þÀ468D 34CC C6FE
2015-10-30T10:06:27.058,þ€26CC 52C2 C4E7
2015-10-30T10:06:30.026,þÀ662C 30C8 C8F4
2015-10-30T10:06:31.015,þ€428C B4CC C4FD
2015-10-30T10:06:38.928,þÀ62A9 B4CC C7ED
2015-10-30T10:06:46.801,þ€46A5 344C C3FD
2015-10-30T10:06:57.786,þÀ664C 9242 C5EF
2015-10-30T10:07:00.689,þ€46CC 50D1 C4F7
2015-10-30T10:07:02.884,þÀ668C 308C C4FC
2015-10-30T10:07:05.873,þ€64CC 52C2 C3EB
2015-10-30T10:07:07.862,þÀ46C4 92D0 C3F8
2015-10-30T10:07:21.714,þ€66C4 40D2 C4F8
2015-10-30T10:07:24.427,þÀ6648 C252 C3E5
2015-10-30T10:07:30.361,þ€66A9 3440 C4F5
2015-10-30T10:07:34.317,þÀ428D 348C C4FF
2015-10-30T10:07:53.107,þ€64AD B0CC C3EE
2015-10-30T10:07:55.085,þÀ62A5 14CC C3F6
2015-10-30T10:08:01.018,þ€662D B4CC C6F4
2015-10-30T10:08:09.918,þÀ66AD A0CC C4F6
2015-10-30T10:08:16.707,þ€66AD B44C C3FF
2015-10-30T10:08:30.687,þÀ66CC D2D2 C4E1
2015-10-30T10:08:44.525,þ€66C8 42C0 C8EF
2015-10-30T10:08:56.390,þÀ640D B4CC C5FA
2015-10-30T10:08:59.356,þ€46A9 B488 C5EB
2015-10-30T10:09:10.232,þÀ668C B40C C3F9
2015-10-30T10:09:18.720,þ€622D 84CC C4F0
2015-10-30T10:09:20.120,þÀ068C D252 C8EB
2015-10-30T10:09:30.997,þ€64A9 B4CC C3FD
2015-10-30T10:09:32.974,þÀ66AD B44C C6EE
2015-10-30T10:09:33.963,þ€662D B4CC C5ED
2015-10-30T10:09:40.885,þÀ64A5 940C C4EF
2015-10-30T10:09:41.873,þ€64A5 B0CC C5F7
2015-10-30T10:09:44.840,þÀ62A9 B4CC C6ED
2015-10-30T10:09:50.763,þ€662D B4CC C4F1
