Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Session_date,Session_time20-Jan-2016,09:38:39.012,34D5 31D3, 3,36,19-Jan-2016,21:56:41.602
20-Jan-2016,14:00:54.917,4B12 4B62, C,AC,19-Jan-2016,21:56:41.602
20-Jan-2016,14:00:55.936,4B12 4B66, C,BD,19-Jan-2016,21:56:41.602
20-Jan-2016,14:00:58.991,4802 4346, C,6D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:01:00.010,4B52 4B66, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:01:04.084,4B52 4366, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:01:05.102,4B52 4B66, C,9C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:01:07.139,4B52 0142, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:01:10.195,4B12 4926, C,9C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:01:15.287,4B52 4166, C,AD,19-Jan-2016,21:56:41.602
20-Jan-2016,14:01:19.360,4902 4844, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:01:24.453,4B52 4B66, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:01:33.619,4B52 4366, C,AC,19-Jan-2016,21:56:41.602
20-Jan-2016,14:01:35.656,4B52 0364, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:01:37.693,4B52 4A60, C,9C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:01:39.730,4B40 4A66, C,BC,19-Jan-2016,21:56:41.602
20-Jan-2016,14:01:40.749,4B52 0066, C,9C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:01:41.767,4B52 4B66, C,AC,19-Jan-2016,21:56:41.602
20-Jan-2016,14:01:45.841,4B52 4846, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:01:47.878,4B52 4B40, C,BC,19-Jan-2016,21:56:41.602
20-Jan-2016,14:01:48.897,4B42 4142, C,BD,19-Jan-2016,21:56:41.602
20-Jan-2016,14:01:51.952,4B52 4B64, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:01:56.026,4352 4B60, C,BB,19-Jan-2016,21:56:41.602
20-Jan-2016,14:01:59.081,4B50 4B64, C,AD,19-Jan-2016,21:56:41.602
20-Jan-2016,14:02:03.155,4302 4960, C,AD,19-Jan-2016,21:56:41.602
20-Jan-2016,14:02:04.174,4312 4B26, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:02:06.210,4B52 4B66, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:02:11.303,4350 4B66, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:02:13.339,4B50 4B60, C,7D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:02:14.358,4B52 4320, C,9C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:02:16.395,4A52 4B66, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:02:19.450,4352 4B62, C,9C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:02:21.487,4B52 4B62, C,9C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:02:23.524,4310 0946, C,7D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:02:25.561,4B52 0B66, C,6C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:02:26.579,4B12 4B66, C,7C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:02:27.598,4B52 4B46, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:02:29.634,4302 4B26, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:02:30.653,4942 0A02, C,9E,19-Jan-2016,21:56:41.602
20-Jan-2016,14:02:31.671,4952 0124, C,AC,19-Jan-2016,21:56:41.602
20-Jan-2016,14:02:33.708,4B52 4946, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:02:40.837,4B40 4162, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:02:41.856,4B52 4A02, C,AC,19-Jan-2016,21:56:41.602
20-Jan-2016,14:02:43.892,4B42 4B66, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:02:44.911,0B50 4364, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:02:46.948,4B52 0846, C,9C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:02:47.966,4B52 4160, C,6C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:02:50.003,4B50 0366, C,BD,19-Jan-2016,21:56:41.602
20-Jan-2016,14:02:53.059,0340 4A66, C,AD,19-Jan-2016,21:56:41.602
20-Jan-2016,14:02:55.095,4952 4B62, C,9C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:02:57.132,4942 4222, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:02:58.151,4B52 0B66, C,AD,19-Jan-2016,21:56:41.602
20-Jan-2016,14:03:01.206,4B42 4966, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:03:04.261,4B52 4A62, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:03:09.389,4B52 4366, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:03:12.409,4A52 4B46, C,7D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:03:15.464,4B52 4B02, C,7D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:03:16.482,4A02 0B46, C,BD,19-Jan-2016,21:56:41.602
20-Jan-2016,14:03:18.519,4B52 4A66, C,9C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:03:19.537,4B52 4026, C,BC,19-Jan-2016,21:56:41.602
20-Jan-2016,14:03:20.556,4350 4260, C,AD,19-Jan-2016,21:56:41.602
20-Jan-2016,14:03:22.593,4B00 4866, C,8B,19-Jan-2016,21:56:41.602
20-Jan-2016,14:03:23.611,4B52 4B64, C,AD,19-Jan-2016,21:56:41.602
20-Jan-2016,14:03:24.629,4B52 4B26, C,AC,19-Jan-2016,21:56:41.602
20-Jan-2016,14:03:27.685,4B50 4B66, C,7C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:03:30.740,4B50 4B66, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:03:31.759,4B52 0966, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:03:32.777,4B52 0960, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:03:37.869,4B50 4B66, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:03:40.925,4B12 4846, C,AC,19-Jan-2016,21:56:41.602
20-Jan-2016,14:03:42.961,4B52 0922, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:03:43.980,4B52 4366, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:03:50.090,4352 4B66, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:03:53.146,4B50 4966, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:03:55.183,4B52 4864, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:03:57.220,4B42 0260, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:03:58.238,4B50 4364, C,CD,19-Jan-2016,21:56:41.602
20-Jan-2016,14:04:01.294,4B40 0B66, C,9E,19-Jan-2016,21:56:41.602
20-Jan-2016,14:04:03.330,4B52 4B66, C,9C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:04:05.367,0912 4866, C,AD,19-Jan-2016,21:56:41.602
20-Jan-2016,14:04:07.404,4B52 4B66, C,AC,19-Jan-2016,21:56:41.602
20-Jan-2016,14:04:08.423,4B52 4824, C,AC,19-Jan-2016,21:56:41.602
20-Jan-2016,14:04:12.497,4B50 4B66, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:04:14.534,4B40 4B20, C,AC,19-Jan-2016,21:56:41.602
20-Jan-2016,14:04:16.570,4842 0B64, C,7E,19-Jan-2016,21:56:41.602
20-Jan-2016,14:04:18.607,4A40 0B46, C,AD,19-Jan-2016,21:56:41.602
20-Jan-2016,14:04:21.663,0B10 4B66, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:04:22.681,4912 0A24, C,AD,19-Jan-2016,21:56:41.602
20-Jan-2016,14:04:24.718,4B50 0A44, C,9C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:04:25.736,4352 4B26, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:04:27.774,4B52 4366, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:04:29.810,4B52 4866, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:04:33.884,4352 4B66, C,9C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:04:36.940,4B12 4262, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:04:37.958,4B52 0366, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:04:39.995,4B50 4360, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:04:42.032,4812 4A26, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:04:45.087,4B12 4B66, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:04:48.143,4B52 0866, C,7D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:04:49.161,0B52 4B66, C,6C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:04:51.198,4B12 0266, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:04:52.217,4B52 4B44, C,AD,19-Jan-2016,21:56:41.602
20-Jan-2016,14:04:55.272,4B52 4B26, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:04:56.290,4B52 0B62, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:05:01.382,4B50 4166, C,9C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:05:04.438,4B50 4162, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:05:05.456,4352 4360, C,AC,19-Jan-2016,21:56:41.602
20-Jan-2016,14:05:08.512,4B52 4842, C,9C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:05:09.530,4B52 4B66, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:05:10.584,4B50 4364, C,AD,19-Jan-2016,21:56:41.602
20-Jan-2016,14:05:11.567,4B12 4966, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:05:12.585,4B50 4B66, C,BD,19-Jan-2016,21:56:41.602
20-Jan-2016,14:05:19.714,4B52 4B66, C,CC,19-Jan-2016,21:56:41.602
20-Jan-2016,14:05:22.769,4B52 4964, C,BD,19-Jan-2016,21:56:41.602
20-Jan-2016,14:05:26.843,4B52 4206, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:05:29.899,4B52 4A60, C,7D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:05:32.954,4A52 4962, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:05:34.991,4B52 4B66, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:05:42.120,4B12 4362, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:05:44.157,4B40 4B66, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:05:46.194,4352 4962, C,7D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:05:48.230,4B42 0844, C,BD,19-Jan-2016,21:56:41.602
20-Jan-2016,14:05:49.249,4B52 4966, C,8D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:05:51.286,4B50 4822, C,9D,19-Jan-2016,21:56:41.602
20-Jan-2016,14:05:52.304,4352 4B66, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:06:04.525,4B52 0B66, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:06:05.544,4B52 0366, C,AD,19-Jan-2016,21:56:41.602
20-Jan-2016,14:06:08.599,4B52 4A66, C,8C,19-Jan-2016,21:56:41.602
20-Jan-2016,14:06:10.636,4B42 4362, C,8D,19-Jan-2016,21:56:41.602
