Detection_date,Detection_time,Tag_ID,Signal_strength,Connection,Session_date,Session_time20-Sep-2014,08:18:41.445,3B6F FD9F, 5,56,20-Sep-2014,08:18:41.444
20-Sep-2014,11:06:10.355,5252 5266, D,E8,20-Sep-2014,08:18:41.444
20-Sep-2014,11:08:31.866,5000 0000, E,58,20-Sep-2014,08:18:41.444
20-Sep-2014,11:08:33.826,5555 2A55, D,D9,20-Sep-2014,08:18:41.444
20-Sep-2014,11:11:45.808,5554 0000, D,48,20-Sep-2014,08:18:41.444
20-Sep-2014,11:13:26.403,66CC 99AA, D,08,20-Sep-2014,08:18:41.444
20-Sep-2014,11:13:34.355,66CC 99AA, C,6B,20-Sep-2014,08:18:41.444
20-Sep-2014,11:17:07.426,66CC 99A8, C,7C,20-Sep-2014,08:18:41.444
20-Sep-2014,11:17:09.424,5252 5266, C,6D,20-Sep-2014,08:18:41.444
20-Sep-2014,11:18:04.468,5252 5266, C,9B,20-Sep-2014,08:18:41.444
20-Sep-2014,11:18:17.054,66CC 99AA, D,18,20-Sep-2014,08:18:41.444
20-Sep-2014,11:18:19.053,5252 5266, C,4C,20-Sep-2014,08:18:41.444
20-Sep-2014,11:18:39.914,5252 5266, E,48,20-Sep-2014,08:18:41.444
20-Sep-2014,11:18:41.913,5252 5266, C,9B,20-Sep-2014,08:18:41.444
20-Sep-2014,11:18:43.912,5252 5266, D,09,20-Sep-2014,08:18:41.444
20-Sep-2014,11:18:45.909,5252 5266, D,08,20-Sep-2014,08:18:41.444
20-Sep-2014,11:19:31.004,5250 0000, E,28,20-Sep-2014,08:18:41.444
20-Sep-2014,11:20:07.509,5252 5266, D,A8,20-Sep-2014,08:18:41.444
20-Sep-2014,11:20:13.506,5252 5266, D,A8,20-Sep-2014,08:18:41.444
20-Sep-2014,11:20:15.505,5252 5266, C,AA,20-Sep-2014,08:18:41.444
20-Sep-2014,11:20:19.504,5252 5266, C,CA,20-Sep-2014,08:18:41.444
20-Sep-2014,11:20:21.504,5252 5266, D,98,20-Sep-2014,08:18:41.444
20-Sep-2014,11:20:23.503,5252 5266, C,BB,20-Sep-2014,08:18:41.444
20-Sep-2014,11:20:27.500,5242 5266, C,6E,20-Sep-2014,08:18:41.444
20-Sep-2014,11:20:50.456,5252 5266, C,BA,20-Sep-2014,08:18:41.444
20-Sep-2014,11:20:52.453,5252 5266, C,9A,20-Sep-2014,08:18:41.444
20-Sep-2014,11:21:14.611,0000 0000, C,A9,20-Sep-2014,08:18:41.444
20-Sep-2014,11:21:16.608,5252 5266, C,DA,20-Sep-2014,08:18:41.444
20-Sep-2014,11:21:33.719,5000 0000, C,E9,20-Sep-2014,08:18:41.444
20-Sep-2014,11:21:35.717,5252 5266, C,7A,20-Sep-2014,08:18:41.444
20-Sep-2014,11:21:37.716,5252 5266, C,BA,20-Sep-2014,08:18:41.444
20-Sep-2014,11:21:39.713,5252 5266, D,F8,20-Sep-2014,08:18:41.444
20-Sep-2014,11:21:43.712,5252 5266, C,F9,20-Sep-2014,08:18:41.444
20-Sep-2014,11:21:47.712,5252 5266, C,7B,20-Sep-2014,08:18:41.444
20-Sep-2014,11:21:55.710,5252 5266, D,28,20-Sep-2014,08:18:41.444
20-Sep-2014,11:21:59.709,1252 5266, C,1D,20-Sep-2014,08:18:41.444
20-Sep-2014,11:22:44.391,5252 5266, C,E8,20-Sep-2014,08:18:41.444
20-Sep-2014,11:22:46.391,5252 5266, D,C8,20-Sep-2014,08:18:41.444
20-Sep-2014,11:22:48.391,5252 5266, D,88,20-Sep-2014,08:18:41.444
20-Sep-2014,11:22:50.391,5252 5266, D,09,20-Sep-2014,08:18:41.444
20-Sep-2014,11:22:52.389,5252 5266, C,E9,20-Sep-2014,08:18:41.444
20-Sep-2014,11:23:39.667,5252 5266, E,68,20-Sep-2014,08:18:41.444
20-Sep-2014,11:23:41.667,5252 5266, D,78,20-Sep-2014,08:18:41.444
20-Sep-2014,11:23:43.665,5252 5266, C,E9,20-Sep-2014,08:18:41.444
20-Sep-2014,11:23:47.662,5252 5266, C,E9,20-Sep-2014,08:18:41.444
20-Sep-2014,11:23:55.655,5252 5266, C,4C,20-Sep-2014,08:18:41.444
20-Sep-2014,11:24:40.757,5252 5264, C,6C,20-Sep-2014,08:18:41.444
20-Sep-2014,11:24:42.746,66CC 99AA, D,38,20-Sep-2014,08:18:41.444
20-Sep-2014,11:24:50.174,66CC 99AA, C,5D,20-Sep-2014,08:18:41.444
20-Sep-2014,11:24:52.134,5555 2A55, C,9B,20-Sep-2014,08:18:41.444
20-Sep-2014,11:24:56.056,5555 2A55, D,28,20-Sep-2014,08:18:41.444
20-Sep-2014,11:31:03.236,5555 2A55, C,D9,20-Sep-2014,08:18:41.444
20-Sep-2014,11:33:29.013,66CC 99AA, C,C9,20-Sep-2014,08:18:41.444
20-Sep-2014,11:33:31.010,5252 5266, C,F8,20-Sep-2014,08:18:41.444
20-Sep-2014,11:33:41.431,5200 0000, C,D8,20-Sep-2014,08:18:41.444
20-Sep-2014,11:33:43.428,5252 5266, D,08,20-Sep-2014,08:18:41.444
20-Sep-2014,11:34:16.503,5000 0000, D,78,20-Sep-2014,08:18:41.444
20-Sep-2014,11:34:20.503,5252 5266, D,98,20-Sep-2014,08:18:41.444
20-Sep-2014,11:34:26.503,5252 5266, C,6C,20-Sep-2014,08:18:41.444
